day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
3,390,4/15/2025,34,49.3,0.016,0,14.3,,
4,391,4/16/2025,39,44.2,0,0,7.4,,
5,392,4/17/2025,20,48.9,0.051,0,14.3,,
6,393,4/18/2025,6,65.8,0.059,0,16.1,good friday,
7,394,4/19/2025,60,56.5,0,0,7,,
1,395,4/20/2025,122,50.7,0.35,0,11.7,easter,
2,396,4/21/2025,7,57.2,0.4,0,11.1,,
3,397,4/22/2025,5,58.6,0.138,0,8.3,,
4,398,4/23/2025,56,64.8,0.059,0,6.7,,
5,399,4/24/2025,44,59.7,0,0,8.2,,
6,400,4/25/2025,15,52,0.13,0,13,,
7,401,4/26/2025,44,48.2,0,0,12.7,,
1,402,4/27/2025,38,53.6,0,0,7.4,,
2,403,4/28/2025,10,69.4,0.008,0,15.2,,
3,404,4/29/2025,11,66.2,0.287,0,15,,
4,405,4/30/2025,15,54.1,0.039,0,8.1,,
5,406,5/1/2025,22,56.7,0.021,0,9.8,,
6,407,5/2/2025,12,59.4,0,0,7.5,,
7,408,5/3/2025,28,48.6,0.016,0,15.1,,
1,409,5/4/2025,53,49.5,0.185,0,14.9,,
2,410,5/5/2025,58,52.7,0.051,0,9.7,cinco de mayo,
3,411,5/6/2025,11,61.7,0,0,6.9,,
4,412,5/7/2025,15,57.7,0,0,12.4,,
5,413,5/8/2025,17,50.2,0,0,17.5,,
6,414,5/9/2025,14,53.2,0,0,6.3,,
7,415,5/10/2025,81,56.7,0,0,12.8,,
1,416,5/11/2025,232,58.1,0,0,8.4,mothers day,
2,417,5/12/2025,34,64.9,0,0,6.6,,
3,418,5/13/2025,17,68.5,0,0,8.3,,
4,419,5/14/2025,56,66.9,0,0,6.8,,
5,420,5/15/2025,9,72.7,0.516,0,11.4,,
6,421,5/16/2025,31,77.4,0.047,0,15.9,,
7,422,5/17/2025,65,63.3,0,0,15.7,,
1,423,5/18/2025,44,59,0.008,0,9.2,,
2,424,5/19/2025,17,47.5,0,0,15.2,,
3,425,5/20/2025,15,53.1,0.618,0,14.5,,
4,426,5/21/2025,17,50,0.087,0,10,,
5,427,5/22/2025,5,51.3,0.063,0,7.4,,
6,428,5/23/2025,10,52,0,0,6.2,,
7,429,5/24/2025,19,55.4,0,0,7.3,,
1,430,5/25/2025,48,57,0.012,0,7.6,,
2,431,5/26/2025,0,56.5,0,0,10.5,memorial day,
3,432,5/27/2025,3,59.2,0,0,9.8,,
4,433,5/28/2025,31,57.9,0.331,0,7,,
5,434,5/29/2025,41,60.1,0,0,5.8,,
6,435,5/30/2025,24,64,0,0,7.1,,
7,436,5/31/2025,17,60.6,0,0,8.1,,
1,437,6/1/2025,54,57.6,0,0,4.5,,
2,438,6/2/2025,16,64.6,0,0,7.4,,
3,439,6/3/2025,15,76.8,0.091,0,13.9,,
4,440,6/4/2025,37,68,0.539,0,8.7,,
5,441,6/5/2025,9,63,0,0,9.2,,
6,442,6/6/2025,41,66.9,0,0,8.3,,
7,443,6/7/2025,36,66.4,0.02,0,7.6,,
1,444,6/8/2025,47,67.6,0.098,0,7.4,,
2,445,6/9/2025,11,63.7,0,0,11.2,,
3,446,6/10/2025,11,65.1,0,0,9.6,,
4,447,6/11/2025,36,74.1,0,0,11.4,,
5,448,6/12/2025,12,74.1,0,0,8.9,,
6,449,6/13/2025,20,64.9,0.142,0,7.4,,
7,450,6/14/2025,49,64.9,0,0,9.4,,
1,451,6/15/2025,141,68.5,0,0,7.1,fathers day,
2,452,6/16/2025,14,73.4,0,0,6.3,,
3,453,6/17/2025,33,80.1,0.299,0,10.8,,
4,454,6/18/2025,21,76.3,1.858,0,5.7,,
5,455,6/19/2025,32,72.1,0,0,8,,
6,456,6/20/2025,40,73.6,0.024,0,10.4,,
7,457,6/21/2025,51,86,0,0,16.8,,
1,458,6/22/2025,19,87.1,0,0,14.4,,
2,459,6/23/2025,28,87.3,0,0,12.9,,
3,460,6/24/2025,0,82.9,0.622,0,7.1,,
4,461,6/25/2025,11,77.5,0.48,0,5.6,,
5,462,6/26/2025,21,82.8,0,0,8.3,,
6,463,6/27/2025,18,82.6,0,0,10.9,,
7,464,6/28/2025,31,77.5,0,0,5.8,,
1,465,6/29/2025,45,81.7,0.031,0,7.6,,
2,466,6/30/2025,13,81.9,0,0,7.9,,
3,467,7/1/2025,10,79.7,0,0,7.6,,
4,468,7/2/2025,25,80.6,0,0,7.2,,
5,469,7/3/2025,6,80.8,0,0,5.2,,
6,470,7/4/2025,0,82,0.02,0,7.2,independence day,
7,471,7/5/2025,10,85.5,0,0,11.5,,
1,472,7/6/2025,50,76.1,0.303,0,11.6,,
2,473,7/7/2025,13,72.9,0,0,8.8,,
3,474,7/8/2025,12,76.1,0.382,0,7.2,,
4,475,7/9/2025,10,75.7,0.122,0,7.3,,
5,476,7/10/2025,25,74.8,1.201,0,6.7,,
